SGK-1 DAF-16
K09B11.9 RPL-11.1
MEX-1 ZIF-1
OMA-1 TAF-4
SMO-1 SMO-1
Y54E5A.1 M04G7.2
GEI-4 RHGF-1
NHR-51 FTN-2
F43G9.5 D1046.1
MES-4 LON-1
LRX-1 COL-180
ZYG-8 HMG-1.1
GEI-4 W09H1.3
MEI-1 MEI-2
EXC-7 C33E10.10
CUTC-1 CUTC-1
HRS-1 IMA-3
DYB-1 F44D12.1
DRH-1 W04D2.5
ABU-11 Y39B6A.1
SNX-1 WDFY-2
CED-3 CED-4
F42H10.7 UNC-57
RPA-2 C18A11.1
SEM-5 C11E4.6
GIP-1 DPY-17
DYB-1 C34B2.4
CEH-40 MDT-29
MIG-5 TAG-319
LMN-1 SQT-1
DLG-1 DSH-2
TBG-1 FTT-2
TAF-9 NHR-69
TAP-1 RPS-9
T04H1.2 Y40C5A.1
MIG-5 F53B3.3
LIN-36 IFA-4
EYA-1 SCRM-7
C39D10.7 COGC-4
GST-5 RGS-4
PAS-6 Y39G10AR.15
ALP-1 RPS-7
EYA-1 ZK973.9
HSP-25 STA-1
T22D1.12 CAT-4
Y41D4B.18 UNC-16
F31C3.2 IMA-3
ERI-1 ERI-5
R02F11.1 TNI-3
GEI-4 ACDH-1
EGL-20 INF-1
GST-5 C16A11.3
THOC-2 EBI-314130
SMA-3 F01F1.12
T04H1.2 F42H10.7
F53B3.6 COGC-4
F08G2.5 RPL-19
PQN-11 T06D8.5
W03D8.8 NPP-9
CUL-2 ELB-1
ZYG-12 ZYG-12
CYB-2.1 PUF-3
F46G11.1 K09B11.9
RPN-12 K01A2.10
ERM-1 PAL-1
DLI-1 COL-143
ATN-1 EIF-3.B
LEC-1 Y46G5A.10
MIG-5 F54D5.15
CYB-1 PUF-3
C40A11.2 F17E9.5
DRH-1 T06D8.10
CKS-1 KAT-1
MIG-5 EBI-311967
ZK131.11 UCR-2.1
VAV-1 T28C6.7
C01B10.4 R03G5.6
FKH-2 R02F2.5
R06B9.3 IMA-3
SEC-24.1 CDC-37
GST-23 B0454.8
GEI-16 TAG-208
Y38H6C.14 K09B11.9
GEI-18 C09G1.4
R08D7.1 C30B5.4
GEI-16 F44D12.1
CGH-1 MEX-1
CIDS-2 COGC-4
REC-8 T16G12.7
CDC-37 KEL-8
EMB-30 C14B9.2
TPST-2 PAS-7
SIR-2.1 PAR-5
C36C9.1 C50E3.13
MES-4 CNX-1
GEI-4 C15H11.9
NHR-111 DIE-1
CDC-14 H02I12.5
EFT-1 WEE-1.3
MIG-5 K04D7.2
IFG-1 NDC-80
DLC-1 COL-178
CSP-1 SCC-3
PPH-4.1 Y53F4B.22
NDC-80 PAL-1
EYA-1 NTL-4
Y71G12B.27 MMCM-1
ZEN-4 LGG-1
OSM-3 C15C6.4
TBG-1 PAL-1
SET-18 T19B4.5
RFC-3 ATN-1
MAT-3 F14E5.2
MEX-6 ZIF-1
F58G11.6 COL-20
Y39E4A.3 C04C3.3
LEC-1 F26F2.3
RSA-1 LMN-1
ABU-11 RUVB-1
MRT-2 NHR-178
EIF-3.D Y82E9BR.13
UBL-1 R06F6.8
KNL-1 EPN-1
GEI-4 DSH-2
TTM-1 LRP-2
MEX-6 COGC-4
F21D5.1 F23B12.5
CUL-2 EBI-367214
TAG-331 F42E11.2
RAN-1 F10C5.2
SPK-1 NPP-20
CSP-1 F54D7.2
ALP-1 F41B4.1
LIN-36 IFB-2
GEI-16 UNC-15
DRH-1 RPS-12
T04H1.2 UNC-101
SCC-1 F57F5.1
REC-8 Y22D7AL.10
CDL-1 IMA-3
MES-4 ASP-2
SKR-10 F22E5.17
SMA-4 SEP-1
C17E4.10 SMA-3
NHR-10 RAD-26
ZC250.3 F40F11.2
SPK-1 GEI-4
Y43B11AR.3 NHR-2
DAF-1 DAF-21
AKT-2 PPGN-1
SCRM-5 R02F2.5
DRH-1 MDT-1.2
ALP-1 ABI-1
GLH-4 KGB-1
PXL-1 ALP-1
Y47D3A.29 PLL-1
GST-5 SDZ-15
EBI-324193 RET-1
K09B11.9 GEI-4
F08G2.5 EBI-314893
Y51H4A.8 PAR-5
GST-7 PHP-3
ALP-1 F52C6.2
NOTCH4 SEL-10
NHR-111 EBI-322517
GEI-16 F53C11.5
TIR-1 ACDH-1
TPST-2 ZK1098.4
T04H1.2 T16H12.4
RPS-10 ZC443.1
ABU-11 GPI-1
F44B9.8 RFC-4
CDC-26 ATN-1
SKR-10 NLR-1
F56D2.2 ATP-3
EYA-1 T01G1.3
ZK632.12 Y116F11A.1
EXC-7 ETR-1
DRH-1 K10D3.4
TZA-1 EBI-327620
T05D4.1 T05D4.1
ELC-1 EBI-367214
RPL-9 CLEC-86
PAT-6 PAT-3
NHR-69 NHR-69
NPP-7 UNC-15
T04H1.2 GEI-14
TAG-232 RACK-1
VPS-37 TSG-101
T01B11.2 SGT-1
ATN-1 F42G8.10
NOB-1 F57G12.2
EYA-1 NHR-13
T01G9.2 CLEC-63
JKK-1 F43G6.8
MPK-1 Y42H9AR.1
TAG-257 PAL-1
CRM-1 T21B6.3
KLC-2 Y18D10A.11
MPK-1 MEK-2
C14B1.2 SGT-1
T07D4.2 T24H7.4
F31E3.2 RNF-1
PMK-1 B0336.7
GEI-4 UNC-16
PKC-2 GST-39
C40A11.2 ABU-8
NHR-111 H02I12.5
PQN-54 ZK792.4
CES-1 K09B11.9
Y42A5A.3 MIG-5
Y55F3AM.10 ECH-6
ZK849.2 PRG-1
PQN-5 COL-80
CKS-1 EBI-314893
WEE-1.3 F13D12.3
Y51H4A.8 EBI-319024
RPS-10 LGC-7
DYRB-1 DYCI-1
GEI-4 F16B12.6
MEX-1 COGC-4
CKS-1 ZC455.1
CYK-4 EBI-324551
Y51H4A.8 EBI-331120
T05E11.3 SGT-1
DLI-1 F01F1.12
Y76A2B.5 ZK863.4
RFC-4 RFC-3
Y18D10A.8 SHW-3
SEK-1 PAL-1
T01G9.2 D2063.1
PBS-5 PAS-2
LIN-37 CSN-5
GEI-16 F01G10.5
SMD-1 CGH-1
MDF-2 F23B12.5
MIG-5 ZK945.8
GNA-1 KEL-8
Y57A10C.6 T11B7.2
PHB-1 TAG-61
MAT-3 RPS-20
ABU-1 PQN-95
LIN-36 F45G2.3
RDE-4 RDE-4
F01F1.9 F01F1.9
VHA-8 UNC-43
MEL-26 C16C8.12
Y76A2B.5 ZTF-1
MIG-15 HST-2
F54E12.2 NPP-2
NPR-3 Y51H4A.8
Y37D8A.17 EBI-330250
ATN-1 F55A4.1
MPK-1 T27F2.2
F33H2.6 MPK-1
DLI-1 Y57G11C.22
T07D4.2 CAT-4
R02F11.1 TNI-1
RPS-10 PSA-3
ATL-1 EBI-326745
VPR-1 HCP-1
DRH-1 GPD-3
TAG-331 B0035.6
ZYG-8 R05F9.1
SPK-1 CEY-2
REC-8 D2096.3
DRH-1 PIR-1
ERM-1 TAG-60
GEI-4 NHR-6
HRS-1 CHC-1
RPL-35 LMN-1
EIF-3.C ZK1098.5
F35G2.2 FUM-1
ZK849.2 RPS-0
LIN-15A MUA-6
R06F6.8 MIG-5
SEK-1 ALH-9
LSM-5 LSM-7
GEI-4 RABN-5
TRA-2 EBI-367214
F08F8.9 T04C9.1
MDF-2 C04C3.3
RPN-10 TRY-10
EBI-1179655 KBP-2
Y71F9AL.17 EBI-2003518
CSN-5 MEL-28
KNL-1 F15E11.15
CGH-1 ALG-2
F35F11.1 COL-80
GEI-4 F08F8.10
SPK-1 DDL-2
LEC-1 FRM-1
PQN-54 BRC-2
PQN-5 Y39B6A.1
SMA-4 C50F2.5
MRT-2 Y45F10B.3
SPTL-2 T18D3.7
W03D8.8 LST-1
QDPR-1 C04C3.3
F09C8.2 T04C9.1
TAG-169 TAG-169
SMA-4 BRP-1
RPA-0 RLA-1
T01G9.2 HUM-1
PFD-5 K06H7.1
UBXN-1 C25E10.8
Y39B6A.1 T22F3.3
ALP-1 F28C6.2
AIR-2 F41C3.5
F28D1.2 H02I12.5
SEK-1 PAS-5
C37E2.1 F43G9.1
GEI-16 EBI-311967
RPS-10 C05C12.5
MAT-3 NHR-6
GLC-3 TAB-1
EYA-1 UNC-11
RGR-1 NHR-91
R06B9.3 C39D10.7
DLC-1 DLC-1
AAK-2 F54B11.7
F47G4.4 PHP-3
PQN-11 T27F2.2
PAS-6 PAS-1
MRT-2 SRI-51
Y37D8A.17 C39D10.7
RNR-1 W05H9.1
LEC-1 UNC-43
RCN-1 REF-2
ATN-1 UBC-9
GPR-1 CALU-1
VPS-33.1 R07H5.8
DAF-3 PSA-1
Y65B4A.7 C39D10.7
PUF-3 POD-1
AAP-1 Y45G5AL.1
LRX-1 CPI-2
IMA-3 Y119C1A.1
Y54E5A.1 SET-24
TEG-1 M60.2
HIS-72 DNJ-23
SCRM-8 C39D10.7
REC-8 SNR-5
T05H4.11 T22D1.4
UNC-16 C47D12.2
T04H1.2 F08F8.10
GEI-4 ZK1127.12
SYP-3 F28D1.2
F38E11.5 Y57A10A.24
NHR-111 C27H5.2
HIM-10 SMGL-1
IFF-1 K07A1.1
ZYG-8 LMN-1
EYA-1 Y119C1A.1
UBC-9 UBC-9
MPK-1 F10E9.3
CKS-1 F42D1.2
KLC-2 TAG-298
ICP-1 T28C6.7
DNC-2 R02F11.4
PQN-54 WWP-1
ZK849.2 EBI-332430
EYA-1 EBI-315765
CKU-80 CAH-3
AIR-1 R05F9.1
NTL-3 CSN-4
CGH-1 NHR-113
DLC-1 C50H11.13
F58B3.6 RAD-26
UNC-37 F27D4.2
MPK-1 Y17G7B.4
FTN-1 FTN-1
GEI-4 T23D8.3
PRG-1 F25H2.5
GEI-4 RNF-1
R02F2.5 SNX-1
EYA-1 F14F9.4
IFF-1 K10H10.2
DAF-3 BRP-1
MRT-2 F53G12.11
PPH-4.1 COGC-1
WDFY-2 F13E6.1
NXT-1 SKR-1
CRM-1 Y69H2.3
CSP-1 PMP-3
HLH-2 IMB-2
NEKL-2 GPD-2
B0507.1 F18A1.6
Y105E8B.5 F25D1.5
EYA-1 F57G12.2
UNC-43 PMK-1
ATN-1 NPP-19
CRM-1 F53A9.2
IFB-2 NPP-7
NHR-6 ZYG-9
TAG-208 SRT-36
IMA-3 SCRM-2
C45G9.5 TAG-117
ABU-11 T25F10.6
R11A8.2 T11B7.1
NHR-111 D2096.12
APC-2 PAL-1
MIG-15 K02F2.2
RPY-1 EBI-311877
SKR-10 PDI-1
R02F11.1 EBI-314893
F20D1.1 SYN-13
NHR-111 Y54F10AM.7
ZK632.12 Y39B6A.1
ALP-1 Y40C5A.1
MIG-5 KLP-3
GPR-1 GPD-4
H06H21.3 CSN-5
Y71G12B.27 ZK632.2
IMA-3 FTN-2
T04H1.2 T09A5.12
TIR-1 CPR-5
ZK418.5 RPL-11.1
GEI-4 Y43H11AL.1
APC-11 NHR-80
PQN-54 F26F4.2
GEI-16 LST-1
TPXL-1 RSA-2
SLI-1 C31C9.2
T01G9.2 F10E9.3
APC-11 SCRM-1
C47D12.2 B0391.10
F08G2.5 CC8.1
NLG-1 C05D9.7
HACD-1 ZK1307.8
LEC-1 LEC-1
DRH-1 TAG-149
B0416.5 CYN-5
SYP-3 CC8.1
LAP-1 LBP-6
RPN-10 MEK-1
ALP-1 EBI-327620
BTB-6 RAD-23
LGC-37 PHP-3
T06E6.10 GPD-3
DRH-1 C34C6.2
KNL-1 UNC-43
VAB-3 EBI-319681
LIN-36 MUA-6
ATP-2 RPS-0
Y63D3A.4 DAF-21
T07H6.4 F57B9.8
ASAH-1 T08G5.5
NSF-1 TAG-235
BCH-1 W09D10.3
SAS-5 TAG-208
LET-99 EBI-1514941
F52C6.2 IMA-3
PAS-7 T07F8.4
PQN-54 TAG-61
LAG-1 Y11D7A.1
XPO-2 F23B12.5
KLP-7 EBI-311877
MEI-1 F47G4.4
CGH-1 T26H5.4
ZK632.12 F52C6.2
LGC-42 NHR-2
K09B11.9 KLP-3
DLI-1 SQT-2
Y57A10A.24 APC-11
DRH-1 C32A3.2
GNA-1 DLG-1
Y48G1C.1 F45D3.4
PHA-4 FOX-1
LIN-15A TAC-1
IMB-2 ATN-1
EXC-7 K09B11.9
C49G7.1 Y57G11C.9
RPY-1 Y119C1A.1
EMB-30 KLE-2
TAP-1 PAL-1
DRH-1 F01G10.1
F35G12.12 TRS-1
LIM-8 ALP-1
LAG-1 LST-1
CYK-1 F23B12.5
MAT-3 TCT-1
GEI-16 K08E7.5
NPP-1 NPP-11
BIR-1 RPS-23
LIM-8 TAG-208
KLC-2 CPR-1
CIF-1 RNR-2
C49G7.1 UNC-23
LIPS-2 SMS-1
GEI-4 F47B10.2
BIR-1 NHR-10
CSN-2 VBH-1
ALP-1 ZFP-3
PAS-7 PAS-7
PAS-7 PAS-1
GEI-16 MIG-5
NPP-19 K09B11.9
RAN-1 T24F1.2
OMA-2 F39H11.1
THOC-2 PGP-14
MPK-1 UNC-43
DPY-30 ASH-2
CSN-5 LIS-1
F31C3.2 F23B12.5
MRT-2 ZC477.2
PQN-5 PBS-3
WVE-1 TAG-208
MOM-4 UCR-2.1
ZK616.3 T21C9.4
LET-70 Y51F10.2
DRH-1 TBB-4
SMA-4 T05H10.4
Y62E10A.14 T22C8.3
PMK-1 EBI-312653
PMK-1 NPP-9
SEK-1 ZK1098.4
C33A11.2 ZK637.2
PBS-7 SCRM-1
Y63D3A.4 C43H6.7
RAN-1 NPP-9
F39B1.1 R06B9.1
C43G2.2 Y69A2AR.18
PHA-4 TAM-1
F38E11.5 LMN-1
T01B7.8 MUP-2
C14A4.11 GCK-1
C45G9.5 M176.2
GEI-4 F40F11.2
C12D8.1 MOE-3
K07C11.4 PAL-1
Y38H6C.14 K04G2.10
T10F2.4 ZK1098.4
IMA-3 C36C5.5
MKK-4 KEL-8
K10H10.4 TAG-208
TAG-197 R01B10.4
TAF-9 Y119C1A.1
CPF-2 ZFP-3
ZK1128.2 HRD-1
Y71F9AL.17 WEE-1.3
XBX-6 Y51H7BR.3
CDC-37 T07D10.3
UNC-23 GEI-18
MIG-5 IFA-4
DPY-27 MIX-1
PSA-1 LYS-8
PBS-3 SNX-1
NSY-1 EBI-314893
LET-60 FRM-8
GLY-5 SGT-1
PQN-54 F53B3.3
ABU-11 F45B8.3
F10B5.2 K04G2.6
ARS-2 UNC-116
SPK-1 IFF-1
HCP-3 SMC-4
F52C6.3 ZIM-3
EYA-1 LEC-10
KIN-2 EBI-325250
LIN-5 LIN-5
K09B11.9 LIN-65
COGC-4 TAC-1
ERM-1 T07C4.1
SEL-10 F42C5.10
LIT-1 EBI-329176
ZC434.8 ASNA-1
RAD-51 UBC-9
IMB-2 NPP-7
ATN-1 F58H1.6
FTN-1 EBI-314893
Y38H6C.14 MDT-8
NOB-1 RPL-17
T06G6.3 GEI-4
VAB-3 NPP-9
GIP-1 ABU-8
FTN-2 W07G4.5
C34D10.1 K08H10.2
SDZ-38 C04C3.3
GEI-4 C27A12.2
T28C12.4 C37C3.2
LRX-1 T08H10.1
RPN-3 ZYG-8
GIP-1 Y69H2.3
HPL-1 Y57A10C.6
SCC-1 ATL-1
ZK849.2 NHR-46
AIR-2 ICP-1
T25G12.5 F35H8.4
T07D4.2 ZC455.1
UBC-13 UEV-1
CPF-2 F15C11.2
PAT-6 PAT-4
C36C9.1 C36C9.1
MAT-3 PAL-1
RPN-2 Y62E10A.14
T22D1.12 ZC455.1
F42H10.7 PFD-2
ATN-1 TWK-3
B0238.1 DAB-1
PBS-6 BRP-1
SEK-1 MFB-1
FTT-2 GIP-1
MRT-2 C14C10.5
IMA-3 CC8.1
APC-2 C30C11.4
ZYG-8 EBP-1
IFF-1 SSP-31
PAS-7 T08A11.1
DRH-1 HRP-2
TAG-331 F53F4.12
UNC-119 ARL-3
SPD-2 UNC-69
UBC-1 MDF-1
LAP-1 W02H5.1
EYA-1 CEH-33
Y71G12B.27 VBH-1
IMA-3 CDD-2
C53C7.1 ABU-8
EFT-1 COGC-4
LIN-37 R05F9.1
MPK-1 R02F2.5
GST-5 JNK-1
PQN-5 RPS-19
TWK-37 MEK-1
PRP-21 ZK930.3
EBI-326062 RPL-7
C12D8.1 C16B8.3
LIT-1 T09F3.1
C01G6.4 NHR-41
C05C8.6 GLY-4
GEX-3 GEX-2
CDC-48.2 CDC-48.1
MIG-15 F36A2.10
RPY-1 ABI-1
CGH-1 SKR-2
RAD-51 HSP-12.2
F13H6.3 NHR-45
T22C1.4 R06F6.8
MUS-101 T10B10.4
STA-1 STA-1
FIGL-1 SMO-1
Y65B4BR.5 F49E8.7
CHK-1 Y77E11A.2
GAD-1 NHR-111
PAS-6 ZK930.3
RPL-35 PAS-7
GEI-4 ZK512.5
F07A11.2 CYB-2.1
RPY-1 Y42H9AR.1
CIF-1 Y59A8A.3
T04H1.2 F23H12.5
PAS-1 F52G2.3
F31C3.2 F32B4.4
SET-18 TIR-1
C05D11.10 C03C10.4
CCF-1 PAL-1
C35A5.8 W07G4.3
GEI-4 F36G3.1
T07D4.2 T18D3.7
CED-4 CED-3
TAF-4 TAF-12
C03C10.4 NHR-91
TAG-175 Y41E3.7
T01B7.8 T21B6.3
GEI-4 TAX-6
ZK849.2 H06I04.1
GEI-4 C35E7.1
ZC373.5 ZC373.5
ZK938.2 K09B11.9
GEI-16 K09B11.9
AKT-2 RPL-7
TPXL-1 LET-92
Y65B4BR.5 Y65B4BR.5
CYE-1 Y59A8B.10
MRT-2 T23F11.2
GEI-4 T21B6.3
GAD-1 F54D10.7
ADD-1 UNC-116
GST-5 Y17G7B.8
C25D7.8 KEL-8
GEI-4 T09F5.10
KLP-13 RPS-5
C16A3.5 T07C4.1
GEI-4 ZK652.6
EGL-21 CIF-1
BATH-42 RAD-26
NPP-7 IMA-3
GEI-16 ZK1248.10
DRH-1 F54D5.7
RIC-8 GOA-1
C06E4.2 SGT-1
PSA-1 ABL-1
ELB-1 KEL-8
NHR-53 Y82E9BR.3
MIG-5 MLC-2
GST-23 R06F6.8
HTP-3 HTP-1
ZK1307.8 Y77E11A.2
C06A5.8 TAG-208
PRP-17 SMO-1
TIR-1 F59A2.6
KLC-2 UNC-116
GEI-4 LIN-8
KIN-2 KIN-1
C33C12.8 EBI-316528
C37A2.7 KEL-8
SCC-3 SCC-1
PAA-1 PPTR-2
K09B11.9 ZK512.5
RPT-6 T28C6.7
F38E11.5 GLD-1
F09F7.7 SKN-1
CSP-1 LPD-7
C06E4.2 F33D4.6
BATH-42 CUL-3
SCC-1 Y24F12A.2
CSP-1 CTG-1
CDC-48.2 CDC-48.2
F43G9.1 KIN-10
F55F3.3 SYN-13
C34D10.1 T02C5.1
BAG-1 HSP-1
MEL-26 PAL-1
GEI-4 F33G12.5
M01E11.2 RNF-1
GEI-4 EBI-311967
CKS-1 M60.4
SMA-2 EBI-329465
RPS-10 EIF-3.F
K07A12.2 ATN-1
ABI-1 Y50D4A.4
GLP-1 LIS-1
GIP-1 F52C6.3
NPP-19 HCP-1
ZC434.8 PQN-83
BEN-1 EBI-486319
RGEF-1 Y39B6A.46
MOM-4 NHR-6
PSA-1 F57B9.1
CCT-5 F13B12.4
GEI-4 C04H5.1
ZK849.2 TAG-260
LIT-1 PEB-1
PPFR-3 COGC-3
GEI-16 Y82E9BR.13
LAG-1 PAR-5
SPK-1 H02I12.5
SMA-4 ELT-3
LIN-5 DLG-1
NEKL-2 CLEC-50
HIM-6 ATL-1
LIN-35 HDA-1
IKB-1 K04G2.6
MAU-8 BATH-30
GST-23 M02D8.1
F08G2.5 UGT-46
Y57A10A.24 RPS-15
PAS-4 RPT-4
EBI-331426 BRP-1
LEC-1 F42C5.10
DRH-1 PLP-1
VHA-16 T08G5.5
CDK-9 MEP-1
TAG-331 GLB-14
CHC-1 COGC-4
F23H12.2 C10G11.7
LIN-45 PAL-1
CLEC-258 NHR-2
F41E7.3 RPS-4
R06B9.3 Y42H9AR.1
ATP-2 TTX-1
ALP-1 F49E2.2
EYA-1 C14C11.2
CGH-1 F46H5.3
PMK-1 OGT-1
SPD-2 UNC-129
T07D4.2 COL-159
T04H1.2 TAG-260
T04C9.1 VAB-3
TAG-325 T10E10.4
RAN-1 NPP-9
C23H3.3 T21B6.3
M01E5.2 R06F6.8
PHAT-1 SDPN-1
RPS-15 CSN-5
NHR-49 NHR-79
SKR-1 C27F2.7
C28C12.2 PLK-2
ATN-1 RPL-5
ZYG-1 H28O16.1
FTN-2 FTN-2
CCO-1 MATH-50
C14A4.11 Y45F10A.6
SMA-2 COL-122
C15H9.4 ASG-1
SRGP-1 C46E10.9
PBS-6 D1005.1
EXC-7 ASD-1
GST-4 T18D3.7
SMA-4 FAT-3
K09B11.9 ZK813.3
T07C4.10 HRS-1
SAS-6 SAS-5
SKR-7 C35D10.2
GEI-4 H04D03.1
STA-1 RPL-7
DYLT-1 D1054.5
RAD-54 RPN-8
K04G7.1 K04G7.1
APP-1 F29A7.3
C12D8.1 COL-74
EMB-27 Y55B1AL.2
RPS-10 ZK930.4
C17E4.2 DNC-2
Y17G7B.11 KEL-8
EBP-2 EBI-311877
SNR-2 Y59A8B.10
RPS-22 T07C4.1
F27C1.6 F29G9.2
EBI-312418 MRE-11
ATN-1 C54E10.2
VAB-3 KIN-10
APC-11 WDFY-2
IKB-1 CSN-5
ATN-1 F54D5.4
ZYG-8 IFA-1
SUN-1 RAN-1
MRT-2 IKB-1
T28C12.4 C14F11.1
GEI-4 C16D2.1
LRX-1 F17C11.9
F41G3.10 MLC-2
R06B9.1 F15C11.2
ZK849.2 RPA-0
MIG-5 C18B2.5
PAS-4 F08F8.2
LIT-1 SMG-6
ZK131.11 Y62E10A.14
BUB-3 K12H4.7
K09B11.9 MEL-11
Y63D3A.4 Y48A6B.9
CKS-1 APC-11
SPK-1 T04A8.7
PAS-1 W07G4.5
C44B11.1 HSP-25
IMB-2 MEG-2
SYN-4 UNC-43
UBC-15 TAG-208
CGH-1 AIN-1
ZK1128.2 PQN-59
C47D12.2 PES-1
VBH-1 NPP-11
RPA-2 RPA-1
PAA-1 PAL-1
GLD-1 F53F1.5
ALP-1 Y62H9A.6
RNP-7 K09B11.9
HDA-1 ASP-2
UNC-16 CAP-2
SMA-4 T05H10.3
F48F7.7 M03F4.6
LIN-36 F10G8.8
F08G2.5 POP-1
GEI-16 F20C5.6
MAT-2 F47G4.4
ALP-1 PAR-3
GST-15 TAG-303
NDC-80 RPL-9
GLN-6 GLN-6
ATN-1 ATN-1
MES-6 UNC-96
MIG-5 Y57G11C.9
Y38H6C.14 PAH-1
T01G9.2 F41C3.5
PHA-4 BRP-1
F31C3.5 ATN-1
GEI-16 ZK930.3
RPS-10 E02C12.11
CGH-1 ZFP-3
ZK1307.8 RPS-7
CTSL2 SRP-6
XBX-6 SBP-1
LIT-1 EBI-312653
DAF-21 SMA-4
MDF-2 H05C05.2
KLP-19 T23G5.3
GEI-4 F40F8.5
F08G2.5 T05B11.1
KLC-1 TSG-101
RPN-10 F57F5.1
CRM-1 F54A3.1
SMA-4 COL-181
C27A2.5 RPS-19
Y49A3A.3 ATF-2
NHR-49 NHR-234
F09E5.7 MIG-5
TBA-2 M05D6.2
B0507.1 K04F10.7
C47D12.2 TRA-4
LIN-37 F10G8.8
T04H1.2 DSH-2
F17C11.9 TEG-1
SCRM-8 F37C4.5
VAB-3 C02F12.8
MRT-2 C40A11.8
LIN-36 Y69H2.3
GLT-5 F28C1.1
T04H1.2 C30B5.4
Y38H6C.14 TAC-1
LIT-1 ZFP-3
PAT-6 SAND-1
E01A2.4 RPL-22
RPL-6 ALH-1
F11A10.2 F07A11.2
UNC-97 Y39B6A.1
DNC-2 Y53F4B.22
K09B11.9 GAK-1
K09B11.9 TTR-28
DRH-1 F26B1.2
EBI-326062 EBI-314893
RAN-1 CRT-1
RPN-11 RPN-11
NHR-91 KLP-3
SMO-1 UBC-9
PRG-1 CEY-1
NPP-7 NPP-13
GEI-4 NHR-111
C34B2.4 MAB-5
POP-1 PAR-5
UNC-101 F35F10.12
TAG-197 T18D3.7
ABU-11 ABU-1
GEI-4 M01E11.2
EYA-1 TAG-153
NHR-111 F25H9.2
PPN-1 DAF-21
EYA-1 TFG-1
VAB-3 EMB-9
GST-19 NHR-111
PHAT-1 ZK484.1
ABU-10 GPD-3
ZYG-8 TCT-1
GEI-4 ZC455.1
CGH-1 F14F9.4
COGC-4 F59E12.9
ZK849.2 ING-3
Y54G9A.4 CYB-3
PDR-1 Y39B6A.1
CPL-1 DCR-1
GEI-4 ZK849.2
LST-3 W02F12.5
CEE-1 ASNA-1
ATN-1 B0495.9
ATN-1 MBK-1
SKR-2 NXT-1
PQN-54 F52C6.2
MRT-2 CWN-1
GEI-4 FBXA-196
ZYG-8 Y57A10A.24
KLC-1 ARX-2
ABU-10 F30H5.3
ALP-1 T13C5.4
LET-805 ATN-1
LEC-1 EBI-327680
T04H1.2 DYB-1
WEE-1.3 ATN-1
CHC-1 CSN-2
DNJ-10 NPP-7
PRP-21 T18D3.7
WWP-1 COGC-4
PABP-2 PABP-2
MRT-2 C25E10.8
LMN-1 NPP-1
Y63D3A.4 RPS-8
T04H1.2 RPL-3
F35F11.1 F01G10.1
CGH-1 EBI-314552
ZK849.2 D2063.1
SMGL-1 UNC-37
DAF-3 C25A1.5
ASPM-1 R02F11.4
GEI-16 Y77E11A.7
PQN-71 PQN-95
TAG-325 F21H7.3
VAB-3 NHR-13
Y65B4A.7 Y69H2.3
T04H1.2 ZK930.3
SLI-1 F56F12.1
B0414.8 NHR-60
SKR-10 NHR-41
LIT-1 GLA-3
LEC-1 F29G6.3
SKP-1 RBPSUH
UNC-11 TAG-208
F31E3.2 UNC-62
RAD-23 JTR-1
SEM-5 SRC-2
GST-23 ABU-6
EHS-1 ABL-1
PQN-54 C39D10.7
PMK-1 PAL-1
VAV-1 EGG-1
Y51H4A.8 RET-1
K09B11.9 T05A7.3
HRS-1 TAC-1
ABU-11 ABU-8
Y71G12B.27 R06F6.8
CPF-2 EBI-314141
IMB-3 NPP-11
UGT-41 CLEC-190
T04H1.2 ATF-2
F31C3.5 IMA-3
PPH-4.1 EEED8.3
CRM-1 F29G6.3
TSG-101 ZEN-4
OPT-3 PHP-3
ABU-10 K08E7.5
SUR-6 Y105E8A.19
RPN-10 RPL-7
AIR-1 PAL-1
ATN-1 F54D5.15
MIG-5 PLK-3
PLK-1 SMO-1
CDK-9 C18B2.5
F13D12.8 DLC-1
SPDL-1 F38E11.5
PHAT-1 WWP-1
RPN-7 Y62E10A.14
GST-38 CYP-33C2
T04H1.2 NHR-111
DNC-2 RACK-1
PQN-60 GPD-3
C18B2.4 LYS-1
DLC-1 COL-20
F08G2.5 KLP-10
LIT-1 ELKS-1
K09B11.9 CAH-4
Y106G6H.15 F54E7.8
K08E3.5 K08E3.5
DRH-1 ALG-2
F42A6.6 CSN-5
C28C12.2 C28C12.2
C47D12.2 BATH-41
Y51H4A.8 EBI-331124
AKT-2 EBI-434984
SMA-4 CLEC-73
NPP-13 SAS-5
F08B6.3 SCRM-8
F26H9.4 F26H9.4
NHR-53 COL-19
UEV-1 F25H2.5
T07D4.2 NPP-3
TAG-331 PQE-1
DNC-2 IFB-1
LIN-2 F59C6.5
TIR-1 TAG-61
LIN-36 ZK1127.4
NPP-7 SPK-1
F31E3.2 T19D12.5
ABU-1 PQN-2
BUB-3 R02F11.1
IMA-3 CDC-6
ZYG-11 W03D8.9
K09B11.9 SAS-4
AAP-1 PGP-6
ZK849.2 EBI-332425
F14B4.2 ZK829.7
F59B2.3 T03F6.3
ALP-1 UNC-87
LRS-1 F36G3.1
GEI-4 MEX-1
TAG-208 MIG-10
ALP-1 SAS-5
NHR-35 F01F1.12
DNC-2 LEC-1
ZK632.12 Y67D2.6
CSN-2 ATN-1
C14A4.11 C06E7.4
COGC-4 HGRS-1
